"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"skiplimit",80,20,293.43366622924805,295.0032552083333,295.0032552083333,293.2548522949219
"idlimit",80,20,316.97750091552734,320.11667887369794,320.11667887369794,315.1893615722656
30
"skiplimit",80,30,309.41433376736114,304.6989440917969,304.6989440917969,293.0959065755208
"idlimit",80,30,324.6201409233941,318.76564025878906,318.76564025878906,309.3878428141276
40
"skiplimit",80,40,324.32874043782556,324.249267578125,324.249267578125,324.249267578125
"idlimit",80,40,344.55458323160804,327.18976338704425,327.18976338704425,327.18976338704425
50
"skiplimit",80,50,332.792599995931,321.5471903483073,321.5471903483073,321.5471903483073
"idlimit",80,50,350.0779469807943,343.7995910644531,343.7995910644531,343.7995910644531
60
"skiplimit",80,60,327.5076548258463,303.8247426350911,303.8247426350911,303.8247426350911
"idlimit",80,60,339.6272659301758,330.050786336263,330.050786336263,330.050786336263
70
"skiplimit",80,70,330.92498779296875,289.2017364501953,289.2017364501953,289.2017364501953
